.	Lvvalve	Ldvalve	Llvsep	Lrvsep	Lmsep	Width	
_0_1	20.3	19.7	8.6	8.7	6.5	8.3	
_0_2	21.1	20.6	7.4	7.3	5.6	8.0	
_0_3	21.7	21.1	7.9	7.5	6.4	8.2	
_0_4	22.6	21.8	8.4	8.2	6.0	9.1	
_0_5	16.7	16.4	5.7	5.5	4.7	6.6	
_0_6	19.6	19.0	7.6	7.4	5.6	7.3	
_0_7	23.4	22.7	8.8	7.8	5.6	9.6	
_0_8	18.0	17.8	7.2	6.6	5.6	6.8	
_0_9	19.3	18.9	7.7	7.3	5.8	7.1	
_0_10	21.7	21.2	7.3	8.0	6.6	8.0	
_0_11	30.1	29.7	12.3	12.0	8.2	12.0	
_0_12	30.8	30.4	9.5	9.1	5.3	11.9	
_0_13	29.9	29.1	10.4	10.0	7.4	11.8	
_0_14	30.3	29.7	11.3	11.2	7.7	12.2	
_0_15	23.7	22.9	8.2	8.0	5.5	9.5	
_0_16	18.9	18.4	4.4	4.4	3.2	7.2	
_0_17	26.0	25.5	9.1	8.6	6.1	10.2	
_0_18	25.3	24.2	9.0	8.8	6.0	9.9	
_0_19	23.9	23.5	8.4	8.2	5.8	9.9	
_0_20	25.9	25.3	8.4	8.0	5.0	10.2	
_0_21	20.6	19.9	7.1	6.8	5.2	8.1	
_0_22	20.2	20.2	5.2	5.0	3.1	8.7	
_0_23	17.5	16.7	4.3	4.3	3.3	7.3	
_0_24	18.9	18.3	5.8	6.0	3.9	7.5	
_0_25	15.2	14.8	5.7	5.5	3.0	6.2	
_1_26	39.1	38.4	18.8	18.8	16.2	11.2	
_1_27	35.8	35.0	17.3	17.0	14.0	11.6	
_1_28	39.6	38.9	19.3	18.9	16.2	12.0	
_1_29	39.6	38.8	19.5	19.0	15.9	11.7	
_1_30	38.4	37.8	17.7	16.9	15.0	11.6	
_1_31	39.8	39.1	19.6	18.0	15.8	11.6	
_1_32	35.4	34.6	17.2	16.4	14.2	10.2	
_1_33	39.2	38.7	18.0	17.7	14.8	11.6	
_1_34	40.5	40.1	18.5	18.0	15.6	12.0	
_1_35	38.4	37.9	18.6	18.4	15.1	11.6	
_1_36	37.1	36.6	18.8	17.8	16.2	10.3	
_1_37	39.6	38.9	18.4	18.2	15.9	11.7	
_1_38	39.8	38.7	19.9	18.4	15.8	11.6	
_1_39	38.9	38.3	19.2	18.1	16.2	11.8	
_1_40	37.7	37.2	17.4	16.9	14.8	12.0	
_1_41	37.5	36.5	18.5	18.1	14.4	11.5	
_1_42	38.1	37.6	18.6	18.4	16.0	11.6	
_1_43	45.8	44.7	21.8	21.5	17.9	14.5	
_1_44	38.7	37.7	18.5	18.0	16.0	11.8	
_1_45	35.6	34.8	16.7	15.9	13.6	10.7	
_1_46	35.9	35.3	17.8	17.0	16.5	10.8	
_1_47	38.2	37.7	19.5	19.0	17.4	11.6	
_1_48	36.7	36.1	17.8	17.1	14.1	11.1	
_1_49	37.1	36.9	17.8	16.6	14.5	11.5	
_1_50	36.5	36.8	17.4	16.8	15.3	11.2	
_1_51	35.7	35.4	17.1	16.5	14.7	10.2	
_1_52	34.7	34.7	16.1	15.4	14.3	11.2	
_1_53	35.5	34.9	17.2	16.8	15.0	11.1	
_1_54	37.5	37.0	18.4	17.6	15.7	10.9	
_1_55	35.3	34.6	17.6	17.2	14.9	10.8	
_1_56	37.9	37.4	18.9	18.4	16.6	11.5	
_1_57	37.3	36.5	19.2	18.4	15.6	11.4	
_1_58	37.1	36.6	17.8	17.5	14.9	11.7	
_1_59	32.4	32.0	15.4	15.3	13.9	9.7	
_1_60	38.6	38.0	18.3	17.9	16.0	11.6	
_1_61	38.6	38.0	18.6	17.7	14.6	12.10	
_1_62	41.2	40.8	19.9	19.1	17.8	12.70	
_1_63	39.3	39.0	19.0	18.5	17.2	11.60	
_1_64	37.3	36.6	17.9	16.6	14.1	11.40	
_1_65	36.5	36.1	16.4	16.3	13.9	11.80	
_1_66	42.7	41.9	20.5	19.7	17.7	13.10	
_1_67	39.9	39.0	17.8	17.5	14.4	12.40	
_1_68	39.1	38.3	18.5	17.6	15.2	12.80	
_1_69	41.5	40.6	19.9	19.6	16.8	13.50	
_1_70	40.9	40.2	20.3	19.0	17.3	12.90	
_1_71	41.0	40.8	19.7	19.5	16.9	12.80	
_1_72	38.6	37.8	18.6	18.3	14.5	12.20	
_1_73	39.0	38.4	18.5	18.1	15.9	12.80	
_1_74	37.0	36.5	17.2	16.8	14.1	12.00	
_1_75	36.2	35.6	18.1	16.9	13.8	12.40	
_1_76	39.8	39.3	19.0	17.5	15.0	13.08	
_2_77	27.9	27.3	12.7	11.4	9.6	8.80	
_2_78	26.6	26.1	11.4	10.8	8.7	8.20	
_2_79	33.6	33.2	13.6	13.8	13.3	10.60	
_2_80	24.5	24.2	10.5	10.0	8.7	7.80	
_2_81	21.4	21.2	9.6	9.2	7.6	6.90	
_2_82	25.6	25.3	10.9	10.4	9.6	8.30	
_2_83	24.6	24.5	10.0	9.5	8.7	8.50	
_2_84	24.3	23.8	10.8	10.7	9.3	7.30	
_2_85	26.2	25.3	11.5	11.3	9.2	8.10	
_2_86	26.1	25.6	11.3	10.6	9.1	8.70	
_2_87	28.0	27.5	11.9	11.8	9.8	8.70	
_2_88	24.5	24.1	10.5	10.2	8.9	7.50	
_2_89	23.2	22.1	9.6	9.2	7.1	7.20	
_2_90	23.4	22.8	10.3	10.4	8.7	7.20	
_2_91	39.1	38.1	18.2	18.0	15.0	11.80	
_2_92	39.1	38.0	18.3	17.9	15.7	11.60	
_2_93	19.1	18.7	7.1	7.6	6.9	6.10	
_2_94	19.1	18.7	8.0	7.3	6.4	6.20	
_2_95	19.4	18.8	8.1	8.1	6.7	6.40	
_2_96	28.3	27.5	13.0	12.8	9.4	9.10	
_2_97	21.6	21.0	9.7	9.3	7.5	6.90	
_2_98	30.5	30.3	13.6	13.4	10.7	10.00	
_2_99	36.4	35.7	17.4	17.5	14.9	11.10	
_2_100	34.2	33.8	16.0	15.4	11.7	10.80	
