DATE,IR3TIB01IDM156N
1998-01-01,22.86
1998-02-01,24
1998-03-01,27.26
1998-04-01,29.4
1998-05-01,32.95
1998-06-01,40.63
1998-07-01,43.01
1998-08-01,44.35
1998-09-01,47.38
1998-10-01,54.67
1998-11-01,53.06
1998-12-01,49.23
1999-01-01,45.5
1999-02-01,38.2
1999-03-01,34.85
1999-04-01,34.09
1999-05-01,31.2
1999-06-01,27.39
1999-07-01,23.45
1999-08-01,19.06
1999-09-01,15.88
1999-10-01,13.37
1999-11-01,12.91
1999-12-01,12.95
2000-01-01,12.85
2000-02-01,12.64
2000-03-01,12.4
2000-04-01,12.16
2000-05-01,11.81
2000-06-01,11.69
2000-07-01,11.79
2000-08-01,12.36
2000-09-01,12.84
2000-10-01,13.09
2000-11-01,13.17
2000-12-01,13.24
2001-01-01,13.83
2001-02-01,14.35
2001-03-01,14.86
2001-04-01,14.93
2001-05-01,14.92
2001-06-01,15
2001-07-01,15.14
2001-08-01,15.62
2001-09-01,16.16
2001-10-01,16.67
2001-11-01,17.06
2001-12-01,17.24
2002-01-01,17.39
2002-02-01,17.24
2002-03-01,17.02
2002-04-01,16.57
2002-05-01,16.24
2002-06-01,15.85
2002-07-01,15.26
2002-08-01,14.77
2002-09-01,14.36
2002-10-01,13.94
2002-11-01,13.76
2002-12-01,13.63
2003-01-01,13.49
2003-02-01,13.15
2003-03-01,12.9
2003-04-01,12.48
2003-05-01,12.02
2003-06-01,11.55
2003-07-01,10.65
2003-08-01,9.58
2003-09-01,8.58
2003-10-01,7.96
2003-11-01,7.58
2003-12-01,7.14
2004-01-01,6.68
2004-02-01,6.38
2004-03-01,6.11
2004-04-01,6.01
2004-05-01,6.17
2004-06-01,6.31
2004-07-01,6.49
2004-08-01,6.54
2004-09-01,6.61
2004-10-01,6.65
2004-11-01,6.66
2004-12-01,6.71
2005-01-01,6.71
2005-02-01,6.74
2005-03-01,6.93
2005-04-01,6.87
2005-05-01,7.03
2005-06-01,7.19
2005-07-01,7.41
2005-08-01,7.71
2005-09-01,8.51
2005-10-01,9.38
2005-11-01,10.72
2005-12-01,11.75
2006-01-01,12.23
2006-02-01,12.32
2006-03-01,12.19
2006-04-01,12.03
2006-05-01,11.82
2006-06-01,11.7
2006-07-01,11.57
2006-08-01,11.34
2006-09-01,11.05
2006-10-01,10.72
2006-11-01,10.25
2006-12-01,9.71
2007-01-01,9.26
2007-02-01,8.83
2007-03-01,8.52
2007-04-01,8.3
2007-05-01,8.06
2007-06-01,7.87
2007-07-01,7.69
2007-08-01,7.51
2007-09-01,7.44
2007-10-01,7.41
2007-11-01,7.4
2007-12-01,7.42
2008-01-01,8.043424286
2008-02-01,8.0552775
2008-03-01,8.103703889
2008-04-01,8.146779545
2008-05-01,8.4208105
2008-06-01,9.139762857
2008-07-01,9.648686364
2008-08-01,9.8525015
2008-09-01,10.58809905
2008-10-01,11.7847925
2008-11-01,12.3961805
2008-12-01,12.171017
2009-01-01,11.17897368
2009-02-01,10.0104095
2009-03-01,9.4439705
2009-04-01,8.9486765
2009-05-01,8.3507625
2009-06-01,7.672518182
2009-07-01,7.330279524
2009-08-01,7.0739405
2009-09-01,6.982196316
2009-10-01,7.014144545
2009-11-01,7.12353
2009-12-01,7.121944286
2010-01-01,7.0310295
2010-02-01,7.036067895
2010-03-01,7.070455455
2010-04-01,7.004875238
2010-05-01,6.903783158
2010-06-01,6.926274286
2010-07-01,6.950079545
2010-08-01,6.966449524
2010-09-01,6.933375263
2010-10-01,6.876806667
2010-11-01,6.73513
2010-12-01,6.636912857
2011-01-01,6.606611429
2011-02-01,6.666241667
2011-03-01,6.868548696
2011-04-01,7.08838
2011-05-01,7.464085714
2011-06-01,7.13548
2011-07-01,7.122190476
2011-08-01,6.835789474
2011-09-01,6.2953
2011-10-01,5.928
2011-11-01,5.503090909
2011-12-01,5.32352381
2012-01-01,5.01
2012-02-01,4.414742857
2012-03-01,4.202152381
2012-04-01,4.22236
2012-05-01,4.321937143
2012-06-01,4.620209524
2012-07-01,4.750145455
2012-08-01,4.878294737
2012-09-01,4.9212
2012-10-01,4.900527273
2012-11-01,4.91306
2012-12-01,4.937755556
2013-01-01,4.956895238
2013-02-01,4.919806
2013-03-01,4.900222105
2013-04-01,4.9
2013-05-01,4.900746818
2013-06-01,5.165602105
2013-07-01,5.796967391
2013-08-01,6.201278421
2013-09-01,6.975102381
2013-10-01,7.204659524
2013-11-01,7.4530015
2013-12-01,7.7067905
2014-01-01,7.9258755
2014-02-01,7.997925
2014-03-01,8.0929055
2014-04-01,8.138687
2014-05-01,8.149566111
2014-06-01,8.149955238
2014-07-01,8.148643889
2014-08-01,8.14523619
2014-09-01,8.109305909
2014-10-01,7.704798261
2014-11-01,7.3791585
2014-12-01,7.180389524
2015-01-01,7.122027143
2015-02-01,7.005693158
2015-03-01,6.805414545
2015-04-01,6.865175238
2015-05-01,6.908455789
2015-06-01,6.941506667
2015-07-01,7.3736495
2015-08-01,7.4568005
2015-09-01,7.74307381
2015-10-01,8.191063333
2015-11-01,8.368109048
2015-12-01,8.7066145
2016-01-01,8.583902
2016-02-01,8.129706
2016-03-01,7.027694286
2016-04-01,6.62333619
2016-05-01,6.6499175
2016-06-01,7.043247273
2016-07-01,7.18526
2016-08-01,7.118347273
2016-09-01,7.134290952
2016-10-01,7.019615238
2016-11-01,6.968423636
2016-12-01,7.2072685
2017-01-01,6.937001429
2017-02-01,6.827474737
2017-03-01,6.858244091
