state,govorder,post0331,stay,shelter,localord,govparty,govelect20,covid0401,pop2019,covid100k,south,govordd,ttoorder
Alaska,1,0,1,0,0,1,0,133,731545,18.18069975,0,03/28/20,15
Arizona,1,0,1,0,0,1,0,1289,7287717,17.68729494,0,03/31/20,18
California,1,0,1,0,0,0,0,8131,39512223,20.57844227,0,03/19/20,6
Colorado,1,0,1,0,0,0,0,2966,5758736,51.5043579,0,03/26/20,13
Connecticut,1,0,1,0,0,0,0,3128,3565287,87.7348724,0,03/23/20,10
Delaware,1,0,0,1,0,0,1,319,973764,32.75947766,1,03/24/20,11
DC,1,0,1,0,0,0,0,495,705749,70.13825028,0,04/01/20,19
Hawaii,1,0,1,0,0,0,0,185,1415872,13.06615287,0,03/25/20,12
Idaho,1,0,1,0,0,1,0,525,1792065,29.29581237,0,03/25/20,12
Illinois,1,0,1,0,0,0,0,5994,12671821,47.30180453,0,03/21/20,8
Indiana,1,0,1,0,0,1,1,2159,6732219,32.06966381,0,03/24/20,11
Kansas,1,0,1,0,0,0,0,428,2913314,14.69117301,0,03/30/20,17
Kentucky,1,0,1,0,0,0,0,591,4467673,13.22836295,1,03/26/20,13
Louisiana,1,0,1,0,0,0,0,5237,4648794,112.652873,1,03/23/20,10
Maryland,1,0,1,0,0,1,0,1660,6045680,27.45762263,1,03/30/20,17
Massachusetts,1,0,1,0,0,1,0,6620,6949503,95.25861058,0,03/24/20,11
Michigan,1,0,1,0,0,0,0,7615,9986857,76.25021566,0,03/24/20,11
Minnesota,1,0,1,0,0,0,0,689,5639632,12.2171092,0,03/27/20,14
Montana,1,0,1,0,0,0,1,203,1068778,18.99365444,0,03/26/20,13
New Hampshire,1,0,1,0,0,1,1,367,1359711,26.99102971,0,03/27/20,14
New Jersey,1,0,1,0,0,0,0,18696,8882190,210.4886295,0,03/21/20,8
New Mexico,1,0,1,0,0,0,0,315,2096829,15.02268425,0,03/24/20,11
New York,1,0,1,0,0,0,0,74427,19453561,382.5880516,0,03/22/20,9
North Carolina,1,0,1,0,0,0,1,1584,10488084,15.10285387,1,03/30/20,17
Ohio,1,0,1,0,0,1,0,2199,11689100,18.81239787,0,03/23/20,10
Oregon,1,0,1,0,0,0,0,690,4217737,16.35948377,0,03/23/20,10
Rhode Island,1,0,1,0,0,0,0,520,1059361,49.08619441,0,03/28/20,15
Virginia,1,0,1,0,0,0,0,1484,8535519,17.38617183,1,03/30/20,17
Vermont,1,0,1,0,0,1,1,293,623989,46.95595595,0,03/25/20,12
Washington,1,0,1,0,0,0,1,4896,7614893,64.29505969,0,03/23/20,10
West Virginia,1,0,1,0,0,1,1,162,1787157,9.064676467,1,03/24/20,11
Wisconsin,1,0,1,0,0,0,0,1351,5822434,23.20335447,0,03/25/20,12
Alabama,0,1,1,0,0,1,0,999,4903185,20.37451167,1,04/04/20,22
Arkansas,0,0,0,0,0,1,0,560,3017825,18.55641066,1,NA,NA
Georgia,0,1,0,1,0,1,0,4585,10617423,43.18373677,1,04/03/20,21
Florida,0,1,1,0,0,1,0,6490,21477737,30.21733621,1,04/03/20,21
Iowa,0,0,0,0,0,1,0,497,3155070,15.75242388,0,NA,NA
Maine,0,1,1,0,0,0,0,303,1344212,22.54108727,0,04/02/20,20
Mississippi,0,1,0,1,0,1,0,1073,2976149,36.05330244,1,04/03/20,21
Missouri,0,1,1,0,0,1,1,1327,6137428,21.62143491,0,04/06/20,24
Nebraska,0,0,0,0,0,1,0,177,1934408,9.150086228,0,NA,NA
Nevada,0,1,1,0,0,0,0,1113,3080156,36.13453345,0,04/01/20,19
North Dakota,0,0,0,0,0,1,1,126,762062,16.53408778,0,NA,NA
Oklahoma,0,0,1,0,1,1,0,565,3956971,14.27859845,1,NA,NA
Pennsylvania,0,1,1,0,0,0,0,4843,128019989,3.783002981,0,04/01/20,19
South Carolina,0,1,1,0,0,1,0,1083,5148714,21.03437868,1,04/07/20,25
South Dakota,0,0,0,0,0,1,0,108,884659,12.20809374,0,NA,NA
Tennessee,1,0,1,0,0,1,0,2239,6833174,32.76661768,1,03/31/20,18
Texas,0,1,1,0,0,1,0,3266,28995881,11.26366879,1,04/02/20,20
Utah,0,0,0,0,1,1,1,934,3205958,29.13325752,0,NA,NA
Wyoming,1,0,1,0,0,1,0,120,578759,20.73401882,0,03/28/20,15
