1,USA,"46,601,658",#ERROR!,"761,954",98,"36,476,756",,"9,362,948","13,099","139,708","2,284","694,316,994","2,081,509","333,564,250"
2,India,"34,242,185",#ERROR!,"457,165",747,"33,615,182",#ERROR!,"169,838","8,944","24,495",327,"604,498,405","432,433","1,397,902,013"
3,Brazil,"21,766,168",,"606,726",,"20,965,296",,"194,146","8,318","101,449","2,828","63,776,166","297,251","214,553,225"
4,UK,"8,936,155",#ERROR!,"140,206",165,"7,261,767",#ERROR!,"1,534,182",945,"130,728","2,051","325,510,859","4,761,947","68,356,668"
5,Russia,"8,392,697",#ERROR!,"235,057",#ERROR!,"7,272,053",#ERROR!,"885,587","2,300","57,477","1,610","206,300,000","1,412,848","146,017,088"
6,Turkey,"7,936,007",,"69,769",,"7,376,821",,"489,417","1,405","92,780",816,"95,567,213","1,117,274","85,536,088"
7,France,"7,140,294",,"117,589",,"6,925,727",,"96,978","1,049","109,072","1,796","151,204,954","2,309,735","65,464,197"
8,Iran,"5,899,509",#ERROR!,"125,875",159,"5,468,620",#ERROR!,"305,014","4,078","69,072","1,474","32,619,228","381,911","85,410,580"
9,Argentina,"5,284,485",,"115,889",,"5,149,943",,"18,653",631,"115,526","2,533","24,952,990","545,505","45,742,901"
10,Spain,"5,008,887",#ERROR!,"87,322",33,"4,862,672",#ERROR!,"58,893",413,"107,076","1,867","66,213,858","1,415,471","46,778,690"
11,Colombia,"4,995,694",,"127,159",,"4,839,391",,"29,144",342,"96,819","2,464","26,651,141","516,513","51,598,243"
12,Italy,"4,757,231",#ERROR!,"132,004",50,"4,548,449",#ERROR!,"76,778",347,"78,835","2,188","102,949,658","1,706,035","60,344,414"
13,Germany,"4,548,203",#ERROR!,"96,039",99,"4,247,000",#ERROR!,"205,164","1,336","54,057","1,141","73,348,901","871,773","84,137,598"
14,Indonesia,"4,242,532",723,"143,333",34,"4,086,759",984,"12,440",,"15,297",517,"46,040,621","166,009","277,338,663"
15,Mexico,"3,793,783",#ERROR!,"287,274",386,"3,156,269",#ERROR!,"350,240","4,798","29,022","2,198","11,275,833","86,260","130,719,539"
16,Poland,"2,998,891",#ERROR!,"76,773",101,"2,693,373",#ERROR!,"228,745",495,"79,353","2,031","22,043,704","583,292","37,791,871"
17,South Africa,"2,920,581",,"89,049",,"2,813,218",,"18,314",546,"48,438","1,477","18,440,973","305,847","60,294,751"
18,Ukraine,"2,851,804",#ERROR!,"66,204",576,"2,411,711",#ERROR!,"373,889",177,"65,730","1,526","14,232,081","328,029","43,386,658"
19,Philippines,"2,772,491",#ERROR!,"42,575",227,"2,680,081",#ERROR!,"49,835","3,194","24,864",382,"22,794,383","204,426","111,504,180"
20,Malaysia,"2,448,372",,"28,674",,"2,347,985",,"71,713",562,"74,390",871,"33,791,439","1,026,695","32,912,819"
21,Peru,"2,198,038",,"200,149",,N/A,N/A,N/A,879,"65,462","5,961","18,910,768","563,199","33,577,416"
22,Netherlands,"2,108,549",#ERROR!,"18,371",15,"1,981,236",#ERROR!,"108,942",203,"122,698","1,069","17,988,698","1,046,772","17,184,926"
23,Iraq,"2,052,123",#ERROR!,"23,083",22,"1,996,126",#ERROR!,"32,914",226,"49,555",557,"15,760,869","380,596","41,411,038"
24,Thailand,"1,884,973",#ERROR!,"19,006",84,"1,766,823",#ERROR!,"99,144","2,432","26,916",271,"14,913,135","212,950","70,031,203"
25,Czechia,"1,747,701",#ERROR!,"30,689",9,"1,669,764",80,"47,248",167,"162,801","2,859","40,290,474","3,753,114","10,735,211"
26,Japan,"1,717,709",312,"18,228",7,"1,694,929",477,"4,552",177,"13,636",145,"26,297,440","208,768","125,965,076"
27,Canada,"1,706,884",,"28,881",,"1,652,739",,"25,264",765,"44,708",756,"45,819,418","1,200,129","38,178,735"
