"id","weight","total.length","fork.length","standard.length","gonad.weight","gsi","age","otolith.weight","gender","reproductive.stage"
"T2F6",500,350,300,270,25.72,5.14,3,0.126,"f","5"
"T2A7",518,335,300,270,11.84,2.29,5,0.152,"f","4"
"T2A8",548,335,300,270,12.85,2.34,5,0.153,"f","4"
"T1C1",609.5,355,300,265,8.19,1.34,6,0.162,"f","3"
"T2E5",519,340,300,265,11.87,2.29,6,0.168,"f","4"
"T1B2",531.5,340,310,280,7.3,1.37,6,0.146,"f","3"
"T2B1",626,360,310,290,23.36,3.73,6,0.161,"f","4"
"T2B8",545,345,315,280,16.45,3.02,6,0.147,"f","5"
"T2C1",546,355,315,285,21.02,3.85,6,0.147,"f","3"
"T1C2",632,360,320,275,8.25,1.31,5,0.161,"f","3"
"T2C2",640,370,320,285,22.75,3.55,5,0.171,"f","5"
"T1D6",696,380,320,300,27.5,3.95,6,0.189,"f","4"
"T2E4",556,370,320,290,19.09,3.43,6,0.172,"f","4"
"T2A6",661,380,320,290,34.83,5.27,15,0.234,"f","3"
"T2A5",641,375,320,295,23.08,3.6,18,0.218,"f","5"
"T2B7",570,345,325,295,27.32,4.79,4,0.14,"f","5"
"T2A1",615,370,325,295,28.7,4.67,7,0.188,"f","4"
"T1A3",730.5,380,327,295,38.08,5.21,5,0.16,"f","5"
"T1E8",685,390,330,300,24.9,3.64,6,0.17,"f","4"
"T1F5",790,400,330,310,35.7,4.52,6,0.17,"f","4"
"T1C5",830,375,330,290,32.59,3.93,7,0.174,"f","5"
"T1F4",665,385,335,310,17.6,2.65,7,0.189,"f","4"
"T1F3",669,385,340,310,38.8,5.8,7,0.18,"f","4"
"T1F8",628,400,345,310,18.7,2.98,4,0.13,"f","4"
"T1A2",860.5,400,345,315,57.87,6.73,7,0.158,"f","5"
"T2C7",725,390,345,315,20.57,2.84,7,0.178,"f","4"
"T2C6",670,390,345,315,16.84,2.51,17,0.217,"f","4"
"T2B5",711,410,350,310,20.06,2.82,7,0.191,"f","5"
"T2F8",840,400,350,320,37.48,4.46,7,0.209,"f","4"
"T3A3",703,410,350,310,18.83,2.68,8,0.202,"f","4"
"T2D6",905,420,355,330,26.01,2.87,8,0.221,"f","4"
"T2C5",841,400,360,320,35.85,4.26,6,0.15,"f","5"
"T2D7",857,420,360,330,31.8,3.71,10,0.203,"f","4"
"T1D5",1095,450,360,350,42.6,3.89,15,0.251,"f","3"
"T1E2",969,420,365,325,65.5,6.76,8,0.228,"f","3"
"T2F2",1024,440,370,340,53.66,5.24,11,0.214,"f","5"
"T1C7",1050,440,380,330,38.51,3.67,7,0.19,"f","4"
