Session,Individual,Detector,Occasion,Sex,Site_Name
4,3291ANFBA,E30Bat,5,M,Batalling
4,3278ANFBA,E45Bat,5,M,Batalling
4,3292ANFBA,E48Bat,5,F,Batalling
4,3226ANFBA,E47Bat,5,M,Batalling
4,3273ANFBA,E02Bat,5,M,Batalling
4,3287ANFBA,E13Bat,5,M,Batalling
4,3268ANFBA,E06Bat,5,M,Batalling
4,3213ANFBA,E07Bat,5,F,Batalling
4,3293ANFBA,W24Bat,5,M,Batalling
4,3272ANFBA,W42Bat,5,M,Batalling
4,3285ANFBA,W27Bat,5,M,Batalling
4,3294ANFBA,W43Bat,5,M,Batalling
4,3295ANFBA,W46Bat,5,F,Batalling
4,3296ANFBA,W53Bat,5,M,Batalling
4,3208ANFBA,W44Bat,5,M,Batalling
4,3289ANFBA,E28Bat,4,F,Batalling
4,3287ANFBA,E22Bat,4,M,Batalling
4,3288ANFBA,E18Bat,4,M,Batalling
4,3290ANFBA,E45Bat,4,M,Batalling
4,3286ANFBA,E04Bat,4,M,Batalling
4,3285ANFBA,W26Bat,4,M,Batalling
4,3271ANFBA,W38Bat,4,F,Batalling
4,3211ANFBA,W50Bat,4,M,Batalling
4,3284ANFBA,E23Bat,3,M,Batalling
4,3269ANFBA,E39Bat,3,F,Batalling
4,3283ANFBA,E22Bat,3,F,Batalling
4,3282ANFBA,W48Bat,3,M,Batalling
4,3279ANFBA,W18Bat,3,M,Batalling
4,3281ANFBA,W42Bat,3,F,Batalling
4,3280ANFBA,W40Bat,3,M,Batalling
4,3271ANFBA,W38Bat,3,F,Batalling
4,3272ANFBA,W39Bat,3,M,Batalling
4,3210ANFBA,W52Bat,3,F,Batalling
4,3205ANFBA,W10Bat,3,F,Batalling
4,3278ANFBA,E48Bat,2,M,Batalling
4,3277ANFBA,E38Bat,2,M,Batalling
4,3226ANFBA,E37Bat,2,M,Batalling
4,3276ANFBA,W50Bat,2,M,Batalling
4,3275ANFBA,W47Bat,2,M,Batalling
4,3273ANFBA,W09Bat,2,M,Batalling
4,3274ANFBA,W17Bat,2,F,Batalling
