Detector,X_CORD,Y_CORD,1,2,3
E01Bat,450454.8414,6313492.658,0,0,0
E02Bat,450874.9976,6313203.985,0,0,0
E03Bat,451037.1156,6312730.273,0,0,0
E04Bat,450707.608,6312384.687,0,0,0
E05Bat,450990.8267,6312035.661,0,0,0
E06Bat,451446.9935,6311900.027,0,0,0
E07Bat,451897.5712,6311687.629,0,0,0
E08Bat,452351.6339,6311481.649,0,0,0
E09Bat,452711.0168,6311125.968,0,0,0
E10Bat,453066.8125,6310794.633,0,0,0
E11Bat,453503.3377,6310564.129,0,0,0
E12Bat,453983.7377,6310495.915,0,0,0
E13Bat,454454.0607,6310293.242,0,0,0
E14Bat,454904.3034,6310102.209,0,0,0
E15Bat,455367.8875,6309899.58,0,0,0
E16Bat,450415.485,6308773.126,0,0,0
E17Bat,450707.6492,6309153.46,0,0,0
E18Bat,451042.8285,6309514.495,0,0,0
E19Bat,451429.8997,6309793.618,0,0,0
E20Bat,451459.7222,6310267.631,0,0,0
E21Bat,451790.8415,6310504.109,0,0,0
E22Bat,452306.4514,6310582.378,0,0,0
E23Bat,452455.5742,6311009.634,0,0,0
E24Bat,452613.1802,6311474.835,0,0,0
E25Bat,452973.2239,6311825.615,0,0,0
E26Bat,453131.2302,6312293.029,0,0,0
E27Bat,453232.4932,6312795.314,0,0,0
E28Bat,453334.0615,6313275.1,0,0,0
E29Bat,453546.7537,6313722.695,0,0,0
E30Bat,453944.3721,6314007.311,0,0,0
E31Bat,454173.7053,6314429.703,0,0,0
E32Bat,454522.6313,6314804.642,0,0,0
E33Bat,454784.0886,6315215.636,0,0,0
E34Bat,454916.7274,6315663.383,0,0,0
E35Bat,454491.646,6315894.451,0,0,0
E36Bat,454026.1099,6316012.669,0,0,0
E37Bat,453587.1539,6316255.712,0,0,0
E38Bat,453133.145,6316448.992,0,0,0
E39Bat,454870.208,6317441.067,0,0,0
E40Bat,455342.9121,6317376.285,0,0,0
E41Bat,455856.7363,6317318.655,0,0,0
E42Bat,456316.4134,6317373.059,0,0,0
E43Bat,456785.1368,6317488.351,0,0,0
E44Bat,457099.6031,6317827.448,0,0,0
E45Bat,457339.5066,6318227.745,0,0,0
E46Bat,457772.3602,6318465.785,0,0,0
E47Bat,458184.4282,6318690.966,0,0,0
E48Bat,458562.032,6319008.995,0,0,0
E49Bat,458811.0212,6319374.37,0,0,0
E50Bat,458464.2329,6319555.825,0,0,0
W01Bat,452772.4396,6316752.92,0,0,0
W02Bat,452484.935,6317107.404,0,0,0
W03Bat,452061.1401,6317354.895,0,0,0
W04Bat,451591.7744,6317529.852,0,0,0
W05Bat,451374.0471,6317959.161,0,0,0
W06Bat,450880.1486,6317986.166,0,0,0
W07Bat,450478.1182,6317711.386,0,0,0
W08Bat,450038.5698,6317438.952,0,0,0
W09Bat,449571.6831,6317379.111,0,0,0
W10Bat,449083.0158,6317407.278,0,0,0
W11Bat,448612.3358,6317414.438,0,0,0
W12Bat,448133.5694,6317470.879,0,0,0
W13Bat,447705.7016,6317637.562,0,0,0
W14Bat,447198.7894,6317660.537,0,0,0
W15Bat,446718.3314,6317732.753,0,0,0
W16Bat,446249.7606,6317910.673,0,0,0
W17Bat,445852.0085,6317676.864,0,0,0
W18Bat,445401.5594,6317494.18,0,0,0
W19Bat,444915.1043,6317588.112,0,0,0
W20Bat,444439.9567,6317689.733,0,0,0
W21Bat,444134.8771,6318045.882,0,0,0
W22Bat,443829.8393,6318487.722,0,0,0
W23Bat,443915.0906,6318901.868,0,0,0
W24Bat,444330.9692,6319110.48,0,0,0
W25Bat,444820.2269,6319226.579,0,0,0
W26Bat,445194.8825,6319483.586,0,0,0
W27Bat,445675.8886,6319431.075,0,0,0
W28Bat,446140.7114,6319541.532,0,0,0
W29Bat,446588.4697,6319725.16,0,0,0
W30Bat,446946.5863,6320037.673,0,0,0
W31Bat,447372.4616,6320192.428,0,0,0
W32Bat,447855.2065,6320219.086,0,0,0
W33Bat,448304.3486,6320118.813,0,0,0
W34Bat,448664.2287,6320286.58,0,0,0
W35Bat,449110.3969,6320451.021,0,0,0
W36Bat,449492.9801,6320736.505,0,0,0
W37Bat,449962.6236,6320871.309,0,0,0
W38Bat,450404.6973,6321153.959,0,0,0
W39Bat,450831.7091,6321177.415,0,0,0
W40Bat,451307.3941,6321173.7,0,0,0
W41Bat,451694.2232,6321410.452,0,0,0
W42Bat,452147.2145,6321552.826,0,0,0
W43Bat,452527.0071,6321845.052,0,0,0
W44Bat,452957.0145,6321756.783,0,0,0
W45Bat,453409.9652,6321856.192,0,0,0
W46Bat,453839.4216,6321961.009,0,0,0
W47Bat,454173.4253,6321801.28,0,0,0
W48Bat,454177.9234,6321300.832,0,0,0
W49Bat,454323.3455,6320883.66,0,0,0
W50Bat,454766.9693,6320618.645,0,0,0
W51Bat,455116.9969,6320263.381,0,0,0
W52Bat,455492.7832,6319952.568,0,0,0
W53Bat,455925.5795,6319614.39,0,0,0
B06Jul,428246.4233,6525114.7,1,1,0
B07Jul,428029.8267,6525091.974,1,1,0
