Detector,X_CORD,Y_CORD,1,2,3,4,5
E01Bat,450454.8414,6313492.658,1,1,1,1,1
E02Bat,450874.9976,6313203.985,1,1,1,1,1
E03Bat,451037.1156,6312730.273,1,1,1,1,1
E04Bat,450707.608,6312384.687,1,1,1,1,1
E05Bat,450990.8267,6312035.661,1,1,1,1,1
E06Bat,451446.9935,6311900.027,1,1,1,1,1
E07Bat,451897.5712,6311687.629,1,1,1,1,1
E08Bat,452351.6339,6311481.649,1,1,1,1,1
E09Bat,452711.0168,6311125.968,1,1,1,1,1
E10Bat,453066.8125,6310794.633,1,1,1,1,1
E11Bat,453503.3377,6310564.129,1,1,1,1,1
E12Bat,453983.7377,6310495.915,1,1,1,1,1
E13Bat,454454.0607,6310293.242,1,1,1,1,1
E14Bat,454904.3034,6310102.209,1,1,1,1,1
E15Bat,455367.8875,6309899.58,1,1,1,1,1
E16Bat,450415.485,6308773.126,1,1,1,1,1
E17Bat,450707.6492,6309153.46,1,1,1,1,1
E18Bat,451042.8285,6309514.495,1,1,1,1,1
E19Bat,451429.8997,6309793.618,1,1,1,1,1
E20Bat,451459.7222,6310267.631,1,1,1,1,1
E21Bat,451790.8415,6310504.109,1,1,1,1,1
E22Bat,452306.4514,6310582.378,1,1,1,1,1
E23Bat,452455.5742,6311009.634,1,1,1,1,1
E24Bat,452613.1802,6311474.835,1,1,1,1,1
E25Bat,452973.2239,6311825.615,1,1,1,1,1
E26Bat,453131.2302,6312293.029,1,1,1,1,1
E27Bat,453232.4932,6312795.314,1,1,1,1,1
E28Bat,453334.0615,6313275.1,1,1,1,1,1
E29Bat,453546.7537,6313722.695,1,1,1,1,1
E30Bat,453944.3721,6314007.311,1,1,1,1,1
E31Bat,454173.7053,6314429.703,1,1,1,1,1
E32Bat,454522.6313,6314804.642,1,1,1,1,1
E33Bat,454784.0886,6315215.636,1,1,1,1,1
E34Bat,454916.7274,6315663.383,1,1,1,1,1
E35Bat,454491.646,6315894.451,1,1,1,1,1
E36Bat,454026.1099,6316012.669,1,1,1,1,1
E37Bat,453587.1539,6316255.712,1,1,1,1,1
E38Bat,453133.145,6316448.992,1,1,1,1,1
E39Bat,454870.208,6317441.067,1,1,1,1,1
E40Bat,455342.9121,6317376.285,1,1,1,1,1
E41Bat,455856.7363,6317318.655,1,1,1,1,1
E42Bat,456316.4134,6317373.059,1,1,1,1,1
E43Bat,456785.1368,6317488.351,1,1,1,1,1
E44Bat,457099.6031,6317827.448,1,1,1,1,1
E45Bat,457339.5066,6318227.745,1,1,1,1,1
E46Bat,457772.3602,6318465.785,1,1,1,1,1
E47Bat,458184.4282,6318690.966,1,1,1,1,1
