X,Y,Trt,/,Site,elevation,elevation_st,meanndvi,medianndvi,stndvi,nvdi_st
424728,6515773,1,/,Julimar,285,-0.017215507,0.693796631,0.129250291,0.623146395,0.276831009
425228,6515773,1,/,Julimar,300,0.410712811,0.447863745,0.516196644,0.141807762,0.75313886
425728,6515773,1,/,Julimar,330,1.266569447,0.921611353,0.745974613,0.575243529,0.111444617
424228,6516273,1,/,Julimar,290,0.125427266,0.142204806,0.132510496,0.01583413,0.25328489
424728,6516273,1,/,Julimar,290,0.125427266,0.459073825,0.414471994,0.03661326,0.312201588
425228,6516273,1,/,Julimar,285,-0.017215507,0.060228719,0.417614301,0.437973262,0.550953236
425728,6516273,1,/,Julimar,310,0.695998357,0.042321238,0.538410931,0.674713695,0.920983962
426228,6516273,1,/,Julimar,320,0.981283902,0.765171592,0.223073303,0.121653765,0.847543619
423728,6516773,1,/,Julimar,285,-0.017215507,0.655156049,0.570582502,0.260241594,0.67078382
424228,6516773,1,/,Julimar,295,0.268070038,0.83315395,0.62822529,0.401103322,0.431810885
424728,6516773,1,/,Julimar,295,0.268070038,0.237439791,0.258997356,0.326351685,0.662652955
425228,6516773,1,/,Julimar,290,0.125427266,0.982695503,0.873300531,0.250912227,0.503468819
425728,6516773,1,/,Julimar,305,0.553355584,0.869353703,0.786741963,0.539911083,0.560757468
426228,6516773,1,/,Julimar,315,0.838641129,0.506756272,0.817417876,0.341869605,0.985026828
426728,6516773,1,/,Julimar,310,0.695998357,0.243811816,0.127676672,0.958737632,0.909763883
423728,6517273,1,/,Julimar,275,-0.302501052,0.154098989,0.171102903,0.672000305,0.94556389
424228,6517273,1,/,Julimar,280,-0.15985828,0.044573936,0.134432938,0.89184934,0.542686099
424728,6517273,1,/,Julimar,275,-0.302501052,0.022045311,0.581494434,0.452707286,0.934415715
425228,6517273,1,/,Julimar,295,0.268070038,0.91965076,0.850671912,0.606156199,0.633358387
425728,6517273,1,/,Julimar,310,0.695998357,0.998386081,0.365953834,0.823689258,0.58296257
426228,6517273,1,/,Julimar,310,0.695998357,0.794978788,0.500526633,0.446084041,0.492758211
426728,6517273,1,/,Julimar,300,0.410712811,0.891115994,0.663049846,0.514675449,0.087603612
427228,6517273,1,/,Julimar,290,0.125427266,0.335463918,0.479321563,0.340234703,0.854490866
420228,6517773,1,/,Julimar,240,-1.301000462,0.17314056,0.468806585,0.199936475,0.704802223
420728,6517773,1,/,Julimar,265,-0.587786598,0.895852439,0.661691632,0.194860469,0.808689407
421228,6517773,1,/,Julimar,230,-1.586286007,0.602398646,0.227829032,0.463355476,0.733467463
423228,6517773,1,/,Julimar,240,-1.301000462,0.55502612,0.313724867,0.802899038,0.238965862
423728,6517773,1,/,Julimar,250,-1.015714916,0.760905686,0.753883736,0.876215266,0.103737379
424228,6517773,1,/,Julimar,275,-0.302501052,0.085241428,0.221662483,0.349133714,0.420320832
424728,6517773,1,/,Julimar,285,-0.017215507,0.039873013,0.197532391,0.218028365,0.299784996
425228,6517773,1,/,Julimar,290,0.125427266,0.695664647,0.181513192,0.875914076,0.106233374
425728,6517773,1,/,Julimar,290,0.125427266,0.896553348,0.964168901,0.945037702,0.032383204
426228,6517773,1,/,Julimar,300,0.410712811,0.992417673,0.244035805,0.907371327,0.38992802
426728,6517773,1,/,Julimar,295,0.268070038,0.810439546,0.236780354,0.109199776,0.93536397
427228,6517773,1,/,Julimar,285,-0.017215507,0.399919584,0.849252177,0.566925334,0.607230734
419728,6518273,1,/,Julimar,220,-1.871571552,0.620758759,0.143248971,0.987502547,0.87663465
420228,6518273,1,/,Julimar,205,-2.299499871,0.377288495,0.920186064,0.136449309,0.528248036
