pclass,survived,age,fare,embarked,sex,,,,,,
1,1,29,211.3375,S,1,,,,Definition of Variables,,
1,1,0.92,151.55,S,0,,,,,,
1,0,2,151.55,S,1,,,,pclass,1,First Class
1,0,30,151.55,S,0,,,,,2,Second Class
1,0,25,151.55,S,1,,,,,3,Third Class
1,1,48,26.55,S,0,,,,,,
1,1,63,77.9583,S,1,,,,survived,0,died in accident
1,0,39,0,S,0,,,,,1,survived accident 
1,1,53,51.4792,C,1,,,,,,
1,0,71,49.5042,C,0,,,,age,,in years
1,0,47,227.525,C,0,,,,,,
1,1,18,227.525,C,1,,,,fare,,in British pounds
1,1,24,69.3,S,1,,,,,,
1,1,26,78.85,S,1,,,,embarked,S,Southampton
1,1,80,30,S,0,,,,,C,Cherbourg
1,0,,25.925,C,0,,,,,Q,Queenstown
1,0,24,247.5208,C,0,,,,,,
1,1,50,247.5208,C,1,,,,sex,0,male
1,1,32,76.2917,C,1,,,,,1,female
1,0,36,75.2417,S,0,,,,,,
1,1,37,52.5542,S,0,,,,,,
1,1,47,52.5542,C,1,,,,,,
1,1,26,30,C,0,,,,,,
1,1,42,227.525,S,1,,,,,,
1,1,29,221.7792,C,1,,,,,,
1,0,25,26,C,0,,,,,,
1,1,25,91.0792,C,0,,,,,,
1,1,19,91.0792,S,1,,,,,,
1,1,35,135.6333,S,1,,,,,,
1,1,28,26.55,S,0,,,,,,
1,0,45,35.5,C,0,,,,,,
1,1,40,31,S,0,,,,,,
1,1,30,164.8667,S,1,,,,,,
1,1,58,26.55,S,1,,,,,,
1,0,42,26.55,C,0,,,,,,
1,1,45,262.375,S,1,,,,,,
1,1,22,55,S,1,,,,,,
1,1,,26.55,S,0,,,,,,
1,0,41,30.5,C,0,,,,,,
1,0,48,50.4958,C,0,,,,,,
1,0,,39.6,C,0,,,,,,
1,1,44,27.7208,S,1,,,,,,
1,1,59,51.4792,C,1,,,,,,
1,1,60,76.2917,C,1,,,,,,
1,1,41,134.5,S,1,,,,,,
1,0,45,26.55,S,0,,,,,,
1,0,,31,S,0,,,,,,
1,1,42,26.2875,C,0,,,,,,
1,1,53,27.4458,C,1,,,,,,
1,1,36,512.3292,C,0,,,,,,
1,1,58,512.3292,S,1,,,,,,
1,0,33,5,S,0,,,,,,
1,0,28,47.1,S,0,,,,,,
1,0,17,47.1,S,0,,,,,,
1,1,11,120,S,0,,,,,,
1,1,14,120,S,1,,,,,,
1,1,36,120,S,0,,,,,,
1,1,36,120,S,1,,,,,,
1,0,49,26,C,0,,,,,,
1,1,,27.7208,S,1,,,,,,
1,0,36,78.85,S,0,,,,,,
1,1,76,78.85,S,1,,,,,,
1,0,46,61.175,S,0,,,,,,
1,1,47,61.175,S,1,,,,,,
1,1,27,53.1,S,0,,,,,,
1,1,33,53.1,C,1,,,,,,
1,1,36,262.375,S,1,,,,,,
1,1,30,86.5,C,1,,,,,,
1,1,45,29.7,S,0,,,,,,
1,1,,55,S,1,,,,,,
1,0,,0,C,0,,,,,,
1,0,27,136.7792,C,0,,,,,,
1,1,26,136.7792,S,1,,,,,,
1,1,22,151.55,S,1,,,,,,
1,0,,52,S,0,,,,,,
1,0,47,25.5875,C,0,,,,,,
1,1,39,83.1583,C,1,,,,,,
1,0,37,83.1583,C,0,,,,,,
1,1,64,83.1583,S,1,,,,,,
1,1,55,25.7,S,1,,,,,,
1,0,,26.55,S,0,,,,,,
1,0,70,71,S,0,,,,,,
1,1,36,71,S,1,,,,,,
1,1,64,26.55,C,1,,,,,,
1,0,39,71.2833,C,0,,,,,,
1,1,38,71.2833,S,1,,,,,,
1,1,51,26.55,S,0,,,,,,
1,1,27,30.5,S,0,,,,,,
1,1,33,151.55,S,1,,,,,,
1,0,31,52,S,0,,,,,,
1,1,27,52,S,1,,,,,,
1,1,31,57,S,0,,,,,,
1,1,17,57,S,1,,,,,,
1,1,53,81.8583,S,0,,,,,,
1,1,4,81.8583,S,0,,,,,,
1,1,54,81.8583,C,1,,,,,,
1,0,50,106.425,C,0,,,,,,
1,1,27,247.5208,C,1,,,,,,
1,1,48,106.425,C,1,,,,,,
1,1,48,39.6,C,1,,,,,,
1,1,49,56.9292,C,0,,,,,,
1,0,39,29.7,C,0,,,,,,
1,1,23,83.1583,C,1,,,,,,
1,1,38,227.525,C,1,,,,,,
1,1,54,78.2667,C,1,,,,,,
1,0,36,31.6792,S,1,,,,,,
1,0,,221.7792,S,0,,,,,,
1,1,,31.6833,C,1,,,,,,
1,1,,110.8833,S,1,,,,,,
1,1,36,26.3875,C,0,,,,,,
1,0,30,27.75,S,0,,,,,,
1,1,24,263,S,1,,,,,,
1,1,28,263,S,1,,,,,,
1,1,23,263,S,1,,,,,,
1,0,19,263,S,0,,,,,,
1,0,64,263,S,0,,,,,,
1,1,60,263,C,1,,,,,,
1,1,30,56.9292,S,1,,,,,,
1,0,,26.55,S,0,,,,,,
1,1,50,133.65,C,0,,,,,,
1,1,43,27.7208,S,0,,,,,,
1,1,,133.65,C,1,,,,,,
1,1,22,49.5,C,1,,,,,,
1,1,60,79.2,C,0,,,,,,
1,1,48,79.2,S,1,,,,,,
1,0,,0,S,0,,,,,,
1,0,37,53.1,S,0,,,,,,
1,1,35,53.1,S,1,,,,,,
1,0,47,38.5,C,0,,,,,,
1,1,35,211.5,C,1,,,,,,
1,1,22,59.4,C,1,,,,,,
1,1,45,59.4,C,1,,,,,,
1,0,24,79.2,C,0,,,,,,
1,1,49,89.1042,C,0,,,,,,
1,1,,89.1042,C,1,,,,,,
1,0,71,34.6542,C,0,,,,,,
1,1,53,28.5,S,0,,,,,,
1,1,19,30,S,1,,,,,,
1,0,38,153.4625,S,0,,,,,,
1,1,58,153.4625,C,1,,,,,,
1,1,23,63.3583,C,0,,,,,,
1,1,45,63.3583,C,1,,,,,,
1,0,46,79.2,C,0,,,,,,
1,1,25,55.4417,C,0,,,,,,
1,1,25,55.4417,C,1,,,,,,
1,1,48,76.7292,C,0,,,,,,
1,1,49,76.7292,S,1,,,,,,
1,0,,42.4,S,0,,,,,,
1,0,45,83.475,S,0,,,,,,
1,1,35,83.475,S,1,,,,,,
1,0,40,0,C,0,,,,,,
1,1,27,76.7292,S,0,,,,,,
1,1,,30,C,0,,,,,,
1,1,24,83.1583,S,1,,,,,,
1,0,55,93.5,S,0,,,,,,
