Facebook,VisitsPerWeek,Friends,Age,Gender,
0,0,0,19,1,
1,21,10,68,1,
1,40,200,38,1,
1,7,514,46,1,
0,0,0,59,0,
1,50,407,56,1,
0,0,0,22,0,
1,14,701,58,0,
1,15,50,71,1,
1,20,197,40,1,
0,0,0,18,1,
0,0,0,15,1,
0,0,0,19,0,
1,35,235,39,1,
1,7,123,44,0,
1,0,10,19,1,
1,10,10,19,1,
0,0,0,19,1,
1,11,27,68,0,
0,0,0,75,0,
1,20,142,25,1,
1,5,107,28,0,
0,0,0,47,1,
1,12,116,42,0,
0,0,0,38,0,
0,0,0,39,1,
1,30,194,24,1,
1,18,173,22,1,
0,0,0,29,1,
1,20,184,22,0,
1,70,1867,27,1,
0,0,0,74,0,
1,9,40,20,1,
1,40,200,30,1,
1,46,400,51,0,
1,28,50,45,0,
1,50,44,28,1,
1,80,1506,69,0,
0,0,0,67,1,
1,15,200,19,1,
1,50,300,25,0,
0,0,0,30,1,
1,6,160,18,1,
1,40,70,50,0,
0,0,0,47,0,
1,10,230,20,1,
1,100,800,21,1,
1,7,100,27,1,
0,0,0,16,1,
1,4,105,18,1,
1,20,300,46,1,
1,2,14,75,0,
0,0,0,20,0,
1,7,360,36,1,
1,30,500,27,1,
0,4,400,50,0,
1,4,10,19,1,
1,10,600,40,1,
0,0,0,20,0,
1,0,2,18,1,
1,20,47,35,1,
0,0,0,15,0,
1,163,330,28,1,
1,68,421,52,0,
1,239,778,21,0,
0,0,0,27,0,
1,3,11,12,1,
1,41,20,61,0,
0,0,0,19,1,
1,40,1500,55,0,
0,0,0,70,0,
1,27,300,28,1,
1,5,120,18,1,
1,15,245,20,0,
0,0,0,42,0,
1,25,342,39,0,
1,3,98,64,1,
1,30,2000,23,1,
1,5,4,45,1,
1,50,1500,51,0,
0,0,0,75,0,
1,27,300,28,1,
0,38,145,24,1,
1,50,348,18,0,
0,11,78,62,1,
1,66,656,32,1,
0,22,82,45,0,
1,30,63,35,1,
0,0,0,19,0,
0,0,0,20,0,
0,0,0,21,0,
1,10,35,76,0,
1,27,70,48,1,
1,16,40,22,1,
1,4,20,75,0,
1,6,15,19,0,
1,4,37,22,1,
1,5,103,56,1,
1,2,40,58,0,
1,0,15,19,0,
0,0,0,20,0,
0,0,0,23,0,
1,4,158,19,1,
1,1,28,19,0,
1,2,214,19,1,
1,0,1,19,0,
0,0,0,17,1,
1,20,35,50,1,
1,10,40,50,0,
0,0,0,20,0,
1,15,20,22,1,
0,0,0,19,1,
1,35,55,37,1,
0,0,0,87,0,
0,0,0,20,0,
1,5,4,45,1,
1,50,1500,51,0,
0,0,0,75,0,
1,27,300,28,1,
0,38,145,24,1,
1,50,348,18,0,
0,11,78,62,1,
1,66,656,32,1,
0,22,82,45,0,
0,0,0,19,0,
1,80,76,51,1,
1,30,24,59,0,
0,0,0,68,1,
1,44,256,24,0,
1,95,388,30,1,
1,32,103,19,1,
1,77,88,21,0,
1,55,118,56,1,
1,40,33,58,1,
1,20,200,26,1,
1,50,185,31,1,
0,0,0,65,0,
1,70,60,20,0,
1,10,38,18,1,
1,15,173,54,1,
0,0,0,57,1,
